date,USD,EUR,KZT,UAH,BYR
2005-10,28.5348,34.3074,0.213347,5.59429,0.0132558
2005-11,28.503,34.3946,0.212574,5.54059,0.0132476
2005-12,28.7792,33.9393,0.21463100000000002,5.66375,0.013381800000000001
2006-1,,,,,
2006-2,,,,,
2006-3,,,,,
2006-4,,,,,
2006-5,,,,,
2006-6,,,,,
2006-7,,,,,
2006-8,,,,,
2006-9,,,,,
2006-10,26.7799,33.9783,0.21049199999999998,5.29896,0.012505200000000001
2006-11,26.7811,33.9852,0.209511,5.28414,0.0125036
2006-12,26.3081,34.6899,0.205628,5.20303,0.0122874
2007-1,,,,,
2007-2,,,,,
2007-3,,,,,
2007-4,,,,,
2007-5,,,,,
2007-6,,,,,
2007-7,,,,,
2007-8,,,,,
2007-9,,,,,
2007-10,24.9493,35.3457,0.206255,4.95517,0.011601
2007-11,24.6724,35.6492,0.204098,4.877129999999999,0.011457499999999999
2007-12,24.4171,36.0055,0.20202,4.81239,0.0113252
2008-1,,,,,
2008-2,,,,,
2008-3,,,,,
2008-4,,,,,
2008-5,,,,,
2008-6,,,,,
2008-7,,,,,
2008-8,,,,,
2008-9,,,,,
2008-10,25.3718,36.4999,0.211555,5.0052900000000005,0.0120046
2008-11,27.0981,34.4092,0.226138,4.52767,0.0128214
2008-12,27.606,35.7166,0.22933299999999998,3.74319,0.012888
2009-1,,,,,
2009-2,,,,,
2009-3,,,,,
2009-4,,,,,
2009-5,,,,,
2009-6,,,,,
2009-7,,,,,
2009-8,,,,,
2009-9,,,,,
2009-10,30.0087,43.8877,0.198812,3.60898,0.0108531
2009-11,29.0488,43.0678,0.19267600000000001,3.5339199999999997,0.0105863
2009-12,29.0687,43.7658,0.195486,3.6267899999999997,0.0104451
2010-1,,,,,
2010-2,,,,,
2010-3,,,,,
2010-4,,,,,
2010-5,,,,,
2010-6,,,,,
2010-7,,,,,
2010-8,,,,,
2010-9,,,,,
2010-10,30.5126,41.4392,0.206746,3.8438600000000003,0.010133699999999999
2010-11,30.7821,42.7256,0.20864999999999997,3.87172,0.0102198
2010-12,31.3335,41.0814,0.212229,3.93316,0.010334300000000001
2011-1,,,,,
2011-2,,,,,
2011-3,,,,,
2011-4,,,,,
2011-5,,,,,
2011-6,,,,,
2011-7,,,,,
2011-8,,,,,
2011-9,,,,,
2011-10,32.11,43.4191,0.216864,4.015610000000001,0.00569326
2011-11,30.1245,42.1833,0.20384,3.76321,0.0035440600000000004
2011-12,31.4001,41.7559,0.212572,3.91498,0.0036511699999999996
2012-1,,,,,
2012-2,,,,,
2012-3,,,,,
2012-4,,,,,
2012-5,,,,,
2012-6,,,,,
2012-7,,,,,
2012-8,,,,,
2012-9,,,,,
2012-10,30.9169,39.9786,0.205982,3.79442,0.00366314
2012-11,31.3743,40.6548,0.208052,3.83643,0.00367811
2012-12,30.811,40.0759,0.204697,3.7621200000000004,0.00359103
2013-1,,,,,
2013-2,,,,,
2013-3,,,,,
2013-4,,,,,
